maintenance_id,engine_id,technician_id,action_taken,date
272,19,151,Ignition system troubleshooting,2024-09-02
273,61,90,Routine avionics system diagnostics,2024-12-31
274,28,68,Lubrication system flush and refill,2024-10-16
275,22,51,Structural integrity review for fuselage,2024-10-29
276,6,28,Environmental control system maintenance,2024-02-27
277,24,77,Electrical systems integrity check,2024-08-04
278,96,44,Environmental control system maintenance,2024-01-22
279,65,115,Navigation software update,2024-05-19
280,49,77,Cooling system pressure test,2024-05-06
281,20,66,Environmental control system maintenance,2024-09-27
282,62,38,Electrical systems integrity check,2024-05-20
283,34,132,Cooling system pressure test,2024-06-21
284,92,83,Fuel pump inspection and calibration,2024-07-10
285,25,2,Fire suppression system functional test,2024-09-26
286,3,159,Ignition system troubleshooting,2024-09-14
287,46,67,Structural integrity review for fuselage,2024-09-01
288,54,82,Fire suppression system functional test,2024-06-10
289,26,164,Routine avionics system diagnostics,2024-03-16
290,28,66,Fuel pump inspection and calibration,2024-12-14
291,40,125,Turbine blade stress testing,2024-09-03
292,7,123,Fuel pump inspection and calibration,2024-08-27
293,92,152,Routine avionics system diagnostics,2024-12-14
294,73,49,Environmental control system maintenance,2024-05-31
295,17,30,Corrosion inspection and mitigation,2024-03-29
296,88,27,Hydraulic system fluid replacement,2024-03-28
297,99,49,Fire suppression system functional test,2024-07-11
298,49,9,Structural integrity review for fuselage,2024-07-09
299,92,68,Fire suppression system functional test,2024-12-31
300,91,12,Hydraulic system fluid replacement,2024-05-07
